,nomeParlamentar,siglaPartido,siglaUF,valorLiquido
251,WALTER IHOSHI,PSD,SP,415394.2499999998
252,LELO COIMBRA,MDB,ES,433047.9699999993
253,DOMINGOS NETO,PSD,CE,504689.79000000027
254,DANIEL VILELA,MDB,GO,404455.0299999999
255,MARCELO ARO,PP,MG,379029.9399999994
256,ROSINHA DA ADEFAL,AVANTE,AL,126658.31999999988
257,PROFESSOR VICTÓRIO GALLI,PSL,MT,458160.4000000002
258,MÁRCIO MARINHO,PRB,BA,446969.770000001
259,LAERCIO OLIVEIRA,PP,SE,469568.89000000065
260,MAIA FILHO,PP,PI,135118.05000000005
261,GLAUBER BRAGA,PSOL,RJ,322853.8099999989
262,ROBERTO ALVES,PRB,SP,451284.6500000002
263,ASSIS CARVALHO,PT,PI,481813.1399999996
264,MARCUS PESTANA,PSDB,MG,388713.9599999995
265,ROGÉRIO ROSSO,PSD,DF,250662.1299999999
266,AFONSO FLORENCE,PT,BA,470113.9800000018
267,JORGINHO MELLO,PR,SC,341170.22999999963
268,LUIS TIBÉ,AVANTE,MG,416666.84999999974
269,ALESSANDRO MOLON,PSB,RJ,375288.29999999894
270,AUREO RIBEIRO,SOLIDARIEDADE,RJ,428874.32000000024
271,RONALDO BENEDET,MDB,SC,467786.760000001
272,PAULO FOLETTO,PSB,ES,463252.05999999854
273,WELITON PRADO,PROS,MG,415192.0299999992
274,AGUINALDO RIBEIRO,PP,PB,495925.29999999877
275,DANILO CABRAL,PSB,PE,504194.95
276,ANTONIO IMBASSAHY,PSDB,BA,438846.4500000003
277,JHONATAN DE JESUS,PRB,RR,561401.2000000008
278,ELI CORRÊA FILHO,DEM,SP,428193.5199999993
279,MARCON,PT,RS,488285.03999999975
280,MARCO TEBALDI,PSDB,SC,472909.87999999936
281,BOHN GASS,PT,RS,452102.15000000014
282,ARTHUR LIRA,PP,AL,425720.14999999834
283,ANDRE MOURA,PSC,SE,434337.450000002
284,JUNJI ABE,MDB,SP,355943.96000000066
285,ALEXANDRE LEITE,DEM,SP,148944.03999999995
286,DANRLEI DE DEUS HINTERHOLZ,PSD,RS,425070.4199999993
287,ANTONIO BRITO,PSD,BA,410215.860000001
288,PADRE JOÃO,PT,MG,433112.1299999992
289,PAULO FREIRE COSTA,PL,SP,412307.1099999999
290,ALCEU MOREIRA,MDB,RS,423508.77999999997
291,MISSIONÁRIO JOSÉ OLIMPIO,DEM,SP,427139.5500000006
292,MARA GABRILLI,PSDB,SP,396295.3499999993
293,NELSON PADOVANI,PSDB,PR,128999.80999999992
294,WALDENOR PEREIRA,PT,BA,461070.840000001
295,JERÔNIMO GOERGEN,PP,RS,423340.2999999988
296,JOÃO RODRIGUES,PSD,SC,128051.66999999998
297,JORGE CÔRTE REAL,PTB,PE,416988.40999999933
298,JOÃO ARRUDA,MDB,PR,455105.88999999914
299,ERIKA KOKAY,PT,DF,286040.94
300,CÉSAR HALUM,PRB,TO,532234.4999999998
301,EDMAR ARRUDA,PSD,PR,470620.7199999996
302,ALBERTO FILHO,PP,MA,145646.33000000007
303,FÁBIO TRAD,PSD,MS,241045.63000000035
304,DIEGO ANDRADE,PSD,MG,400733.44999999995
305,BRUNA FURLAN,PSDB,SP,433038.6799999993
306,VINICIUS GURGEL,PL,AP,521324.10999999894
307,ZECA DIRCEU,PT,PR,463228.76999999926
308,HEULER CRUVINEL,PP,GO,426143.6600000001
309,FLÁVIA MORAIS,PDT,GO,413940.0099999999
310,DIMAS FABIANO,PP,MG,412548.33999999525
311,ARTHUR OLIVEIRA MAIA,DEM,BA,444604.13000000117
312,PR. MARCO FELICIANO,PODE,SP,376062.66
313,ARNALDO JORDY,PPS,PA,503041.35999999876
314,PEDRO UCZAI,PT,SC,519042.83000000083
315,JOSE STÉDILE,PSB,RS,525114.9100000025
316,VALMIR ASSUNÇÃO,PT,BA,457875.7800000006
317,TONINHO PINHEIRO,PP,MG,431219.9999999998
318,SERGIO ZVEITER,DEM,RJ,339120.46999999986
319,SIBÁ MACHADO,PT,AC,396175.12999999896
320,THIAGO PEIXOTO,PSD,GO,426249.31999999954
321,JOSÉ NUNES,PSD,BA,459231.0700000008
322,SANDRO ALEX,PSD,PR,446606.1099999996
323,VICENTE CANDIDO,PT,SP,445471.64999999927
324,LUCIANA SANTOS,PCdoB,PE,507793.2799999996
325,SÁGUAS MORAES,PT,MT,497951.2400000001
326,WALNEY ROCHA,PATRI,RJ,401239.07999999914
327,ZÉ SILVA,SOLIDARIEDADE,MG,378168.4799999998
328,MANDETTA,DEM,MS,482055.23000000033
329,WILSON FILHO,PTB,PB,502621.4400000005
330,RONALDO FONSECA,PODE,DF,113527.41000000003
331,PROFESSORA DORINHA SEABRA REZENDE,DEM,TO,464966.69999999885
332,EROS BIONDINI,PROS,MG,448394.39999999816
333,PROFESSORA MARCIVANIA,PCdoB,AP,426731.53999999946
334,PASTOR EURICO,PATRIOTA,PE,427413.6099999995
335,DR. JORGE SILVA,SOLIDARIEDADE,ES,448147.69999999844
336,DELEGADO FRANCISCHINI,PSL,PR,465086.0099999993
337,ESPERIDIÃO AMIN,PP,SC,299582.0399999994
338,ROGÉRIO PENINHA MENDONÇA,MDB,SC,300722.11999999994
339,ROBERTO DE LUCENA,PODE,SP,428451.2100000009
340,RENZO BRAZ,PP,MG,368181.4799999997
341,RICARDO IZAR,PP,SP,445193.6299999998
342,KEIKO OTA,PSB,SP,425565.4800000002
343,MARCELO AGUIAR,DEM,SP,126156.43999999996
344,LEOPOLDO MEYER,PSB,PR,236258.80000000045
345,AUGUSTO COUTINHO,SOLIDARIEDADE,PE,493418.11000000004
346,FÉLIX MENDONÇA JÚNIOR,PDT,BA,447053.2900000011
347,GUILHERME MUSSI,PP,SP,342937.3
348,GENECIAS NORONHA,SOLIDARIEDADE,CE,217051.4499999999
349,JEAN WYLLYS,PSOL,RJ,241098.00000000012
350,GIOVANI CHERINI,PL,RS,465373.8900000001
351,HUGO MOTTA,PRB,PB,416491.6499999998
352,FERNANDO TORRES,PSD,BA,467919.4900000012
353,FRANCISCO FLORIANO,DEM,RJ,422915.77
354,DOMINGOS SÁVIO,PSDB,MG,443166.16000000015
355,TIRIRICA,PL,SP,140514.15999999997
356,LUIZ NISHIMORI,PL,PR,434738.07999999885
357,RONALDO NOGUEIRA,PTB,RS,487131.2899999997
358,DELEGADO WALDIR,PSL,GO,97143.06999999998
359,CARMEN ZANOTTO,CIDADANIA,SC,280768.28999999946
360,NILSON LEITÃO,PSDB,MT,483431.14999999973
361,MAGDA MOFATTO,PL,GO,400741.7000000004
362,WEVERTON ROCHA,PDT,MA,355784.80999999907
363,SEVERINO NINHO,PSB,PE,132477.21000000002
364,MARCOS ROGÉRIO,DEM,RO,433820.1500000003
365,PAULÃO,PT,AL,404004.6100000001
366,MARGARIDA SALOMÃO,PT,MG,363138.08999999944
367,RENATO ANDRADE,PP,MG,434324.8499999992
368,FABIO REIS,MDB,SE,378467.0500000008
369,ERON BEZERRA,PCdoB,AM,97000.88
370,SUBTENENTE GONZAGA,PDT,MG,424328.47999999824
371,LUIZ CARLOS RAMOS,PR,RJ,428359.42000000057
372,LEO DE BRITO,PT,AC,446158.1499999986
373,MAJOR OLIMPIO,PSL,SP,338417.3799999989
374,EVANDRO GUSSI,PV,SP,327806.55
375,CAPITÃO AUGUSTO,PL,SP,454188.7600000021
376,DR. SINVAL MALHEIROS,PODE,SP,445830.08000000066
377,ANDRÉ ABDON,PP,AP,519137.23999999894
378,LEANDRE,PV,PR,347982.3699999989
379,ALEXANDRE SERFIOTIS,PSD,RJ,379525.5699999996
380,BEBETO,PSB,BA,485644.25000000163
381,AFONSO MOTTA,PDT,RS,452133.44999999955
382,ALAN RICK,DEM,AC,491451.11999999953
383,ANGELIM,PT,AC,532082.4299999987
384,CÉSAR MESSIAS,PSB,AC,503369.72999999777
385,JÉSSICA SALES,MDB,AC,547381.0700000001
386,ROCHA,PSDB,AC,462821.50999999896
387,CÍCERO ALMEIDA,PHS,AL,422137.9800000008
388,JHC,PSB,AL,402304.0600000003
389,MARX BELTRÃO,PSD,AL,276033.8199999999
390,PEDRO VILELA,PSDB,AL,167910.45000000004
391,RONALDO LESSA,PDT,AL,491532.69000000006
392,ALFREDO NASCIMENTO,PR,AM,400051.7300000007
393,ARTHUR VIRGÍLIO BISNETO,PSDB,AM,221131.87000000005
394,CONCEIÇÃO SAMPAIO,PSDB,AM,466055.0299999992
395,HISSA ABRAHÃO,PDT,AM,520301.98999999906
396,JOZI ARAÚJO,PODE,AP,516109.46999999933
397,MARCOS REATEGUI,PSD,AP,512895.8399999991
398,CAETANO,PT,BA,459494.0000000011
399,ELMAR NASCIMENTO,DEM,BA,471828.0900000012
400,IRMÃO LAZARO,PSC,BA,352109.9100000003
401,JOÃO GUALBERTO,PSDB,BA,289121.5600000003
402,JORGE SOLLA,PT,BA,467880.9600000033
403,MÁRIO NEGROMONTE JR.,PP,BA,458364.3000000001
404,PAULO AZI,DEM,BA,427385.0500000013
405,RONALDO CARLETTO,PP,BA,448139.999999999
406,TIA ERON,PRB,BA,339984.09000000067
407,ULDURICO JUNIOR,PROS,BA,473913.56000000035
408,ADAIL CARNEIRO,PODE,CE,510386.69000000076
409,CABO SABINO,AVANTE,CE,511798.2200000004
410,LUIZIANNE LINS,PT,CE,512967.67999999906
411,MACEDO,PP,CE,498503.5000000024
412,ODORICO MONTEIRO,PSB,CE,515459.2400000006
413,VITOR VALIM,PROS,CE,354651.02000000014
414,RÔNEY NEMER,PP,DF,353551.21999999933
415,EVAIR VIEIRA DE MELO,PP,ES,460810.53999999946
416,GIVALDO VIEIRA,PCdoB,ES,449922.00999999593
417,HELDER SALOMÃO,PT,ES,348320.67999999924
418,SERGIO VIDIGAL,PDT,ES,419658.4499999992
419,CÉLIO SILVEIRA,PSDB,GO,425489.74999999965
420,FÁBIO SOUSA,PSDB,GO,133031.0800000001
421,GIUSEPPE VECCI,PSDB,GO,403765.23000000016
422,LUCAS VERGILIO,SOLIDARIEDADE,GO,425721.8599999997
423,MARCOS ABRÃO,PPS,GO,416421.6800000001
424,ALUISIO MENDES,PODE,MA,488632.5999999995
425,ANDRÉ FUFUCA,PP,MA,354455.89999999985
426,ELIZIANE GAMA,PPS,MA,490650.33999999944
427,HILDO ROCHA,MDB,MA,518962.76999999897
428,JUNIOR MARRECA,PATRI,MA,510566.9599999995
429,JUSCELINO FILHO,DEM,MA,517399.4099999993
430,RUBENS PEREIRA JÚNIOR,PCdoB,MA,510464.01999999967
431,VICTOR MENDES,MDB,MA,515793.45999999915
432,ZÉ CARLOS,PT,MA,484341.37999999995
433,ADELMO CARNEIRO LEÃO,PT,MG,376964.00000000076
434,CAIO NARCIO,PSDB,MG,426410.3900000011
435,DÂMINA PEREIRA,PODE,MG,398618.84999999957
436,DELEGADO EDSON MOREIRA,PR,MG,446600.599999996
437,LAUDIVIO CARVALHO,PODE,MG,427297.0699999962
438,MISAEL VARELLA,PSD,MG,433112.45999999996
439,NEWTON CARDOSO JR,MDB,MG,423930.91000000003
440,RODRIGO PACHECO,DEM,MG,361806.9100000004
441,TENENTE LÚCIO,PR,MG,312642.48999999894
442,TEREZA CRISTINA,DEM,MS,421777.24
443,ZECA DO PT,PT,MS,479075.24000000115
444,ADILTON SACHETTI,PRB,MT,291330.4699999996
445,EZEQUIEL FONSECA,PP,MT,462730.6400000006
446,FABIO GARCIA,DEM,MT,440235.92999999947
447,BETO SALAME,PP,PA,394262.6799999986
448,FRANCISCO CHAPADINHA,PODE,PA,502865.5499999988
449,DELEGADO ÉDER MAURO,PSD,PA,506014.45999999996
450,HÉLIO LEITE,DEM,PA,481912.9899999991
451,JOAQUIM PASSARINHO,PSD,PA,445119.2299999989
452,SIMONE MORGADO,MDB,PA,499438.23999999906
453,PEDRO CUNHA LIMA,PSDB,PB,234733.0600000001
454,VENEZIANO VITAL DO RÊGO,PSB,PB,504162.87000000087
455,ADALBERTO CAVALCANTI,AVANTE,PE,497287.31000000064
456,BETINHO GOMES,PSDB,PE,500279.9499999994
457,DANIEL COELHO,CIDADANIA,PE,476645.25999999896
458,JOÃO FERNANDO COUTINHO,PROS,PE,514641.6199999996
459,KAIO MANIÇOBA,SOLIDARIEDADE,PE,354737.8300000005
460,MARINALDO ROSENDO,PP,PE,433994.82999999827
461,RICARDO TEOBALDO,PODE,PE,497335.0200000003
462,SEBASTIÃO OLIVEIRA,PL,PE,201817.7700000001
463,TADEU ALENCAR,PSB,PE,478224.65999999834
464,ZECA CAVALCANTI,PTB,PE,514727.3499999999
465,CAPITÃO FÁBIO ABREU,PL,PI,361646.6699999994
466,REJANE DIAS,PT,PI,143690.39999999994
467,RODRIGO MARTINS,PSB,PI,512029.7699999994
468,ALIEL MACHADO,PSB,PR,470793.4499999994
469,CHRISTIANE DE SOUZA YARED,PL,PR,395983.2100000001
470,DIEGO GARCIA,PODE,PR,392057.3100000077
471,EVANDRO ROMAN,PSD,PR,472919.82999999984
472,LUCIANO DUCCI,PSB,PR,314927.0999999993
473,SERGIO SOUZA,MDB,PR,347559.7000000001
474,TONINHO WANDSCHEER,PROS,PR,465365.54000000074
475,ROSSONI,PSDB,PR,235323.75000000081
476,ALEXANDRE VALLE,PR,RJ,403306.1099999998
477,ALTINEU CÔRTES,PL,RJ,222137.86999999997
478,CABO DACIOLO,PATRI,RJ,217972.19000000006
