,nomeParlamentar,siglaPartido,siglaUF,valorLiquido
310,DIMAS FABIANO,PP,MG,382119.99999999115
311,ARTHUR OLIVEIRA MAIA,DEM,BA,456980.79000000044
312,PR. MARCO FELICIANO,PODE,SP,441457.6099999993
313,ARNALDO JORDY,PPS,PA,518791.3299999997
314,PEDRO UCZAI,PT,SC,508585.59000000067
315,JOSE STÉDILE,PSB,RS,488942.8900000022
316,VALMIR ASSUNÇÃO,PT,BA,466188.5100000003
317,TONINHO PINHEIRO,PP,MG,415306.6100000003
318,SERGIO ZVEITER,DEM,RJ,424845.72000000044
319,THIAGO PEIXOTO,PSD,GO,403689.01
320,JOSÉ NUNES,PSD,BA,458466.22000000096
321,SANDRO ALEX,PSD,PR,450715.7300000002
322,VICENTE CANDIDO,PT,SP,440092.28000000125
323,LUCIANA SANTOS,PCdoB,PE,474116.2799999996
324,SÁGUAS MORAES,PT,MT,514125.4999999992
325,WALNEY ROCHA,PATRI,RJ,427929.0499999991
326,ZÉ SILVA,SOLIDARIEDADE,MG,433538.06999999896
327,MANDETTA,DEM,MS,485964.70000000164
328,WILSON FILHO,PTB,PB,517577.7499999994
329,RONALDO FONSECA,PODE,DF,279519.20000000007
330,PROFESSORA DORINHA SEABRA REZENDE,DEM,TO,451591.56000000046
331,EROS BIONDINI,PROS,MG,435818.59999999765
332,PROFESSORA MARCIVANIA,PCdoB,AP,508242.33000000025
333,PASTOR EURICO,PATRIOTA,PE,402546.2099999995
334,DR. JORGE SILVA,SOLIDARIEDADE,ES,456733.0600000001
335,DELEGADO FRANCISCHINI,PSL,PR,470435.9100000001
336,ESPERIDIÃO AMIN,PP,SC,371431.10000000073
337,ROGÉRIO PENINHA MENDONÇA,MDB,SC,343960.52999999846
338,ROBERTO DE LUCENA,PODE,SP,446648.4200000002
339,RENZO BRAZ,PP,MG,433112.5199999976
340,RICARDO IZAR,PP,SP,452908.5799999998
341,KEIKO OTA,PSB,SP,422775.58000000124
342,MARCELO AGUIAR,DEM,SP,450665.78000000044
343,LEOPOLDO MEYER,PSB,PR,220970.21999999898
344,AUGUSTO COUTINHO,SOLIDARIEDADE,PE,497476.1699999996
345,FÉLIX MENDONÇA JÚNIOR,PDT,BA,379544.3299999994
346,GUILHERME MUSSI,PP,SP,434964.8099999992
347,GENECIAS NORONHA,SOLIDARIEDADE,CE,483776.93000000005
348,JEAN WYLLYS,PSOL,RJ,254248.0699999997
349,GIOVANI CHERINI,PL,RS,490883.31999999995
350,HUGO MOTTA,PRB,PB,493765.08000000054
351,FERNANDO TORRES,PSD,BA,173587.8599999999
352,FRANCISCO FLORIANO,DEM,RJ,426646.0100000004
353,DOMINGOS SÁVIO,PSDB,MG,442470.1899999994
354,TIRIRICA,PL,SP,87728.96000000002
355,LUIZ NISHIMORI,PL,PR,476133.75000000023
356,RONALDO NOGUEIRA,PTB,RS,2959.83
357,FERNANDO JORDÃO,MDB,RJ,-1412.69
358,DELEGADO WALDIR,PSL,GO,38031.84000000003
359,CARMEN ZANOTTO,CIDADANIA,SC,349937.08999999973
360,NILSON LEITÃO,PSDB,MT,427665.47999999905
361,MAGDA MOFATTO,PL,GO,438081.3899999999
362,WEVERTON ROCHA,PDT,MA,500515.36999999994
363,SEVERINO NINHO,PSB,PE,472298.6300000002
364,MARCOS ROGÉRIO,DEM,RO,535592.9000000006
365,PAULÃO,PT,AL,502706.5500000002
366,MARGARIDA SALOMÃO,PT,MG,434180.8499999989
367,RENATO ANDRADE,PP,MG,437615.03999999684
368,FABIO REIS,MDB,SE,443277.21999999916
369,SUBTENENTE GONZAGA,PDT,MG,423566.16999999725
370,LUIZ CARLOS RAMOS,PR,RJ,350991.7799999997
371,LEO DE BRITO,PT,AC,537859.2500000003
372,MAJOR OLIMPIO,PSL,SP,436621.7100000012
373,MAX FILHO,PSDB,ES,51.52
374,EVANDRO GUSSI,PV,SP,434818.24999999924
375,CAPITÃO AUGUSTO,PL,SP,470508.5399999988
376,DR. SINVAL MALHEIROS,PODE,SP,443109.66999999864
377,ANDRÉ ABDON,PP,AP,527160.3800000005
378,LEANDRE,PV,PR,424975.67000000033
379,ALEXANDRE SERFIOTIS,PSD,RJ,428679.7199999993
380,BEBETO,PSB,BA,474382.2100000011
381,AFONSO MOTTA,PDT,RS,477756.2100000011
382,ALAN RICK,DEM,AC,537890.730000001
383,ANGELIM,PT,AC,534501.7200000006
384,CÉSAR MESSIAS,PSB,AC,488883.2600000005
385,JÉSSICA SALES,MDB,AC,535611.0500000006
386,ROCHA,PSDB,AC,590760.2300000006
387,CÍCERO ALMEIDA,PHS,AL,486196.90000000043
388,JHC,PSB,AL,488877.9200000003
389,MARX BELTRÃO,PSD,AL,90.06
390,PEDRO VILELA,PSDB,AL,380347.4100000002
391,RONALDO LESSA,PDT,AL,492081.9399999999
392,ALFREDO NASCIMENTO,PR,AM,499897.17999999976
393,ARTHUR VIRGÍLIO BISNETO,PSDB,AM,331604.9199999995
394,CONCEIÇÃO SAMPAIO,PSDB,AM,435587.80999999936
395,HISSA ABRAHÃO,PDT,AM,473860.8799999995
396,JOZI ARAÚJO,PODE,AP,516012.77000000095
397,MARCOS REATEGUI,PSD,AP,516512.29000000015
398,CAETANO,PT,BA,462677.10000000056
399,ELMAR NASCIMENTO,DEM,BA,470882.8100000001
400,IRMÃO LAZARO,PSC,BA,460215.6600000015
401,JOÃO GUALBERTO,PSDB,BA,328959.73000000033
402,JORGE SOLLA,PT,BA,462686.9200000011
403,MÁRIO NEGROMONTE JR.,PP,BA,471707.3600000002
404,MOEMA GRAMACHO,PT,BA,-711.69
405,PAULO AZI,DEM,BA,479338.8900000004
406,RONALDO CARLETTO,PP,BA,466787.35000000114
407,TIA ERON,PRB,BA,125112.22999999995
408,ULDURICO JUNIOR,PROS,BA,469560.21000000014
409,ADAIL CARNEIRO,PODE,CE,516848.7300000001
410,CABO SABINO,AVANTE,CE,521545.6400000006
411,LUIZIANNE LINS,PT,CE,508939.33999999997
412,MACEDO,PP,CE,489773.8100000008
413,ODORICO MONTEIRO,PSB,CE,509559.6799999999
414,VITOR VALIM,PROS,CE,360581.0299999998
415,RÔNEY NEMER,PP,DF,365110.51999999984
416,EVAIR VIEIRA DE MELO,PP,ES,347187.8400000003
417,GIVALDO VIEIRA,PCdoB,ES,445097.0799999973
418,HELDER SALOMÃO,PT,ES,449086.92000000004
419,SERGIO VIDIGAL,PDT,ES,447295.40000000055
420,ALEXANDRE BALDY,PP,GO,412942.8299999998
421,CÉLIO SILVEIRA,PSDB,GO,425508.5900000001
422,FÁBIO SOUSA,PSDB,GO,156753.94999999995
423,GIUSEPPE VECCI,PSDB,GO,426084.72000000026
424,LUCAS VERGILIO,SOLIDARIEDADE,GO,441259.85999999975
425,MARCOS ABRÃO,PPS,GO,422730.1900000002
426,ALUISIO MENDES,PODE,MA,506011.66999999987
427,ANDRÉ FUFUCA,PP,MA,490504.80999999994
428,ELIZIANE GAMA,PPS,MA,505074.5899999998
429,HILDO ROCHA,MDB,MA,518976.1999999998
430,JUNIOR MARRECA,PATRI,MA,512134.9599999998
431,JUSCELINO FILHO,DEM,MA,508900.34000000014
432,RUBENS PEREIRA JÚNIOR,PCdoB,MA,521739.6000000007
433,VICTOR MENDES,MDB,MA,502308.54
434,ZÉ CARLOS,PT,MA,488356.6299999998
435,ADELMO CARNEIRO LEÃO,PT,MG,432739.65999999904
436,CAIO NARCIO,PSDB,MG,434738.19
437,DÂMINA PEREIRA,PODE,MG,441891.4699999997
438,DELEGADO EDSON MOREIRA,PR,MG,448277.1699999909
439,LAUDIVIO CARVALHO,PODE,MG,428416.9399999978
440,MISAEL VARELLA,PSD,MG,431393.0899999997
441,NEWTON CARDOSO JR,MDB,MG,434057.1499999997
442,RODRIGO PACHECO,DEM,MG,422233.12999999995
443,TENENTE LÚCIO,PR,MG,411664.4800000003
444,CARLOS MARUN,MDB,MS,494490.0799999997
445,TEREZA CRISTINA,DEM,MS,464642.79000000027
446,ZECA DO PT,PT,MS,484910.41999999894
447,ADILTON SACHETTI,PRB,MT,231863.74999999974
448,EZEQUIEL FONSECA,PP,MT,467231.3000000003
449,FABIO GARCIA,DEM,MT,387875.36999999936
